galaxy_name_raw,galaxy_id,M_bh_Msun,M_err_lo,M_err_hi,sigma_kms,sigma_err_lo,sigma_err_hi,log10_M_bh,log10_sigma
MW,MW,4100000.0,600000.0,600000.0,103.0,20.0,20.0,6.6127838567197355,2.012837224705172
A1836,A1836,3900000000.0,600000000.0,400000000.0,288.0,14.0,14.0,9.5910646070265,2.459392487759231
A3565,A3565,1400000000.0,200000000.0,300000000.0,322.0,16.0,16.0,9.146128035678238,2.507855871695831
Circ,Circ,1700000.0,300000.0,400000.0,158.0,18.0,18.0,6.230448921378274,2.1986570869544226
IC1459,IC1459,2700000000.0,400000000.0,300000000.0,315.0,16.0,16.0,9.431363764158988,2.4983105537896004
N221,N221,2600000.0,500000.0,500000.0,75.0,3.0,3.0,6.414973347970818,1.8750612633917
N224,N224,140000000.0,30000000.0,80000000.0,160.0,8.0,8.0,8.146128035678238,2.2041199826559246
N524,N524,860000000.0,40000000.0,100000000.0,235.0,12.0,12.0,8.934498451243568,2.3710678622717363
N821,N821,170000000.0,78000000.0,70000000.0,209.0,10.0,10.0,8.230448921378274,2.3201462861110542
N1023,N1023,40000000.0,4000000.0,4000000.0,205.0,10.0,10.0,7.6020599913279625,2.311753861055754
N1194,N1194,68000000.0,3000000.0,3000000.0,147.9,22.0,25.900000000000006,7.832508912706237,2.1699681739968923
N1277,N1277,17000000000.0,3000000000.0,3000000000.0,333.0,17.0,17.0,10.230448921378274,2.5224442335063197
N1300,N1300,71000000.0,18000000.0,34000000.0,218.0,10.0,10.0,7.8512583487190755,2.3384564936046046
N1316,N1316,170000000.0,30000000.0,30000000.0,226.0,11.0,11.0,8.230448921378274,2.3541084391474008
N1332,N1332,1500000000.0,200000000.0,200000000.0,328.0,16.0,16.0,9.176091259055681,2.515873843711679
N1374,N1374,590000000.0,50000000.0,50000000.0,174.0,9.0,9.0,8.770852011642145,2.2405492482826
N1399,N1399,510000000.0,70000000.0,60000000.0,296.0,15.0,15.0,8.707570176097937,2.4712917110589387
N1407,N1407,4700000000.0,500000000.0,900000000.0,274.0,14.0,14.0,9.672097857935718,2.437750562820388
N1550,N1550,3800000000.0,400000000.0,400000000.0,289.0,14.0,14.0,9.57978359661681,2.4608978427565478
N2273,N2273,7800000.0,400000.0,400000.0,144.5,15.699999999999989,17.69999999999999,6.892094602690481,2.1598678470925665
N2549,N2549,14000000.0,4000000.0,1000000.0,145.0,7.0,7.0,7.146128035678238,2.161368002234975
N2787,N2787,41000000.0,5000000.0,4000000.0,189.0,9.0,9.0,7.6127838567197355,2.2764618041732443
N2960,N2960,12100000.0,500000.0,500000.0,166.0,14.699999999999989,16.0,7.08278537031645,2.220108088040055
N3031,N3031,80000000.0,11000000.0,20000000.0,143.0,7.0,7.0,7.903089986991944,2.155336037465062
N3091,N3091,3700000000.0,200000000.0,100000000.0,307.0,15.0,15.0,9.568201724066995,2.4871383754771865
N3115,N3115,890000000.0,270000000.0,510000000.0,230.0,11.0,11.0,8.949390006644913,2.361727836017593
N3227,N3227,15000000.0,8000000.0,5000000.0,133.0,12.0,12.0,7.176091259055681,2.123851640967086
N3245,N3245,220000000.0,60000000.0,50000000.0,205.0,10.0,10.0,8.342422680822207,2.311753861055754
N3368,N3368,7600000.0,1500000.0,1600000.0,122.0,24.0,28.0,6.880813592280791,2.0863598306747484
N3377,N3377,180000000.0,95000000.0,90000000.0,145.0,7.0,7.0,8.255272505103306,2.161368002234975
N3379,N3379,420000000.0,110000000.0,100000000.0,206.0,10.0,10.0,8.6232492903979,2.3138672203691533
N3384,N3384,11000000.0,5100000.0,5000000.0,143.0,7.0,7.0,7.041392685158225,2.155336037465062
N3393,N3393,33000000.0,2000000.0,2000000.0,147.9,9.900000000000006,10.599999999999994,7.518513939877887,2.1699681739968923
N3489,N3489,6000000.0,900000.0,800000.0,100.0,11.0,15.0,6.778151250383644,2.0
N3585,N3585,330000000.0,60000000.0,150000000.0,213.0,10.0,10.0,8.518513939877888,2.3283796034387376
N3607,N3607,140000000.0,50000000.0,40000000.0,229.0,11.0,11.0,8.146128035678238,2.359835482339888
N3608,N3608,470000000.0,100000000.0,100000000.0,182.0,9.0,9.0,8.672097857935718,2.2600713879850747
N3842,N3842,9700000000.0,2500000000.0,3000000000.0,270.0,14.0,14.0,9.986771734266245,2.4313637641589874
N3998,N3998,850000000.0,70000000.0,70000000.0,272.0,14.0,14.0,8.929418925714293,2.4345689040341987
N4026,N4026,180000000.0,30000000.0,60000000.0,180.0,9.0,9.0,8.255272505103306,2.255272505103306
N4258,N4258,36700000.0,100000.0,100000.0,115.0,10.0,10.0,7.56466606425209,2.060697840353612
N4261,N4261,530000000.0,110000000.0,110000000.0,315.0,15.0,15.0,8.724275869600788,2.4983105537896004
N4291,N4291,980000000.0,310000000.0,310000000.0,242.0,12.0,12.0,8.991226075692495,2.383815365980431
N4342,N4342,460000000.0,150000000.0,260000000.0,225.0,11.0,11.0,8.662757831681574,2.3521825181113627
N4374,N4374,920000000.0,80000000.0,100000000.0,296.0,14.0,14.0,8.963787827345556,2.4712917110589387
N4388,N4388,8800000.0,200000.0,200000.0,107.2,7.200000000000003,7.599999999999994,6.944482672150168,2.030194785356751
N4459,N4459,70000000.0,14000000.0,13000000.0,167.0,8.0,8.0,7.845098040014257,2.2227164711475833
N4472,N4472,2400000000.0,100000000.0,300000000.0,315.0,16.0,16.0,9.380211241711606,2.4983105537896004
N4473,N4473,89000000.0,44000000.0,45000000.0,190.0,9.0,9.0,7.949390006644912,2.278753600952829
N4486,N4486,6200000000.0,400000000.0,300000000.0,324.0,16.0,28.0,9.792391689498254,2.510545010206612
N4486A,N4486A,14000000.0,5100000.0,5000000.0,111.0,5.0,5.0,7.146128035678238,2.0453229787866576
N4526,N4526,473000000.0,13000000.0,13000000.0,222.0,11.0,11.0,8.674861140737812,2.346352974450639
N4564,N4564,88000000.0,24000000.0,24000000.0,162.0,8.0,8.0,7.944482672150168,2.2095150145426308
N4594,N4594,670000000.0,40000000.0,50000000.0,230.0,12.0,12.0,8.826074802700827,2.361727836017593
N4596,N4596,84000000.0,25000000.0,36000000.0,136.0,6.0,6.0,7.924279286061882,2.1335389083702174
N4649,N4649,4700000000.0,1000000000.0,1100000000.0,341.0,17.0,17.0,9.672097857935718,2.5327543789924976
N4697,N4697,200000000.0,20000000.0,20000000.0,177.0,8.0,8.0,8.301029995663981,2.247973266361807
N4736,N4736,6800000.0,1600000.0,1600000.0,112.0,6.0,6.0,6.832508912706237,2.0492180226701815
N4751,N4751,1400000000.0,100000000.0,100000000.0,355.0,18.0,18.0,9.146128035678238,2.550228353055094
N4826,N4826,1600000.0,400000.0,400000.0,96.0,5.0,5.0,6.204119982655925,1.9822712330395684
N4889,N4889,21000000000.0,15500000000.0,16000000000.0,347.0,17.0,17.0,10.32221929473392,2.5403294747908736
N5077,N5077,800000000.0,330000000.0,500000000.0,222.0,11.0,11.0,8.903089986991944,2.346352974450639
N5128,N5128,59000000.0,10000000.0,11000000.0,150.0,7.0,7.0,7.770852011642144,2.1760912590556813
N5328,N5328,4800000000.0,1900000000.0,1000000000.0,333.0,17.0,17.0,9.681241237375588,2.5224442335063197
N5516,N5516,3500000000.0,400000000.0,200000000.0,306.0,26.0,26.0,9.544068044350276,2.48572142648158
N5576,N5576,170000000.0,40000000.0,30000000.0,183.0,9.0,9.0,8.230448921378274,2.2624510897304293
N5845,N5845,490000000.0,160000000.0,150000000.0,234.0,11.0,11.0,8.690196080028514,2.369215857410143
N6086,N6086,3800000000.0,1200000000.0,1700000000.0,318.0,16.0,16.0,9.57978359661681,2.5024271199844326
N6251,N6251,600000000.0,200000000.0,200000000.0,290.0,14.0,14.0,8.778151250383644,2.462397997898956
N6264,N6264,30300000.0,400000.0,500000.0,158.5,14.0,15.300000000000011,7.481442628502305,2.2000292665537704
N6323,N6323,9800000.0,100000.0,100000.0,158.5,23.599999999999994,27.69999999999999,6.991226075692495,2.2000292665537704
N6861,N6861,2100000000.0,200000000.0,200000000.0,389.0,19.0,19.0,9.32221929473392,2.5899496013257077
N7052,N7052,400000000.0,160000000.0,280000000.0,266.0,13.0,13.0,8.602059991327963,2.424881636631067
N7582,N7582,55000000.0,11000000.0,16000000.0,156.0,19.0,19.0,7.740362689494244,2.1931245983544616
N7619,N7619,2600000000.0,300000000.0,900000000.0,313.0,16.0,16.0,9.414973347970818,2.4955443375464483
N7768,N7768,1300000000.0,400000000.0,500000000.0,257.0,13.0,13.0,9.113943352306837,2.4099331233312946
U3789,U3789,10800000.0,500000.0,600000.0,107.2,11.700000000000003,13.0,7.033423755486949,2.030194785356751
